,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__num_layers,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,110.8977297782898,0.31573013158357466,0.03390383720397949,0.0020132194023494755,10,0.01,200,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 10, 'lr': 0.01, 'max_epochs': 200, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9519230769230769,0.9711538461538461,0.9134615384615384,0.9903846153846154,0.9807692307692307,0.9615384615384615,0.027196414661021073,1
52,47.68028559684753,3.3965033854813624,0.007201290130615235,0.0007504751358918079,30,0.01,300,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 30, 'lr': 0.01, 'max_epochs': 300, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9615384615384616,0.9711538461538461,0.9134615384615384,0.9807692307692307,0.9711538461538461,0.9596153846153846,0.02386475701152088,2
28,28.736417770385742,0.1842202056185783,0.02000579833984375,0.0012207346275109185,20,0.01,100,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 20, 'lr': 0.01, 'max_epochs': 100, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9519230769230769,0.9711538461538461,0.9038461538461539,0.9807692307692307,0.9711538461538461,0.9557692307692307,0.027601346335398687,3
49,38.64755134582519,0.2212989729498777,0.013001680374145508,0.0006348994455300401,30,0.01,200,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 30, 'lr': 0.01, 'max_epochs': 200, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.9423076923076923,0.9230769230769231,0.9615384615384616,0.9711538461538461,0.9538461538461538,0.018644922528524326,4
10,57.37761044502258,0.3052100024319793,0.03610496520996094,0.0012790124652458314,10,0.01,100,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 10, 'lr': 0.01, 'max_epochs': 100, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9519230769230769,0.9423076923076923,0.9134615384615384,0.9807692307692307,0.9711538461538461,0.9519230769230769,0.02355278598829979,5
34,81.67042989730835,0.39316826785086006,0.01800117492675781,0.0020991480229148743,20,0.01,300,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 20, 'lr': 0.01, 'max_epochs': 300, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9230769230769231,0.9615384615384616,0.9134615384615384,0.9807692307692307,0.9615384615384616,0.948076923076923,0.02551249838734922,6
16,164.6428505420685,0.5374721306948221,0.03180131912231445,0.0013294008710323746,10,0.01,300,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 10, 'lr': 0.01, 'max_epochs': 300, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9134615384615384,0.9807692307692307,0.8942307692307693,0.9807692307692307,0.9711538461538461,0.948076923076923,0.03679062782636342,6
31,56.07124590873718,0.424592128882739,0.01800112724304199,0.0014137756507256601,20,0.01,200,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 20, 'lr': 0.01, 'max_epochs': 200, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9423076923076923,0.9615384615384616,0.9134615384615384,0.9519230769230769,0.9615384615384616,0.9461538461538461,0.017833881722107137,8
46,19.748733806610108,0.17855736834117258,0.023007965087890624,0.019258216236302785,30,0.01,100,0,<class 'torch.optim.adam.Adam'>,"{'batch_size': 30, 'lr': 0.01, 'max_epochs': 100, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adam.Adam'>}",0.9711538461538461,0.8942307692307693,0.9134615384615384,0.9519230769230769,0.9807692307692307,0.9423076923076923,0.03330866937632454,9
8,206.8305381298065,2.4731611727908933,0.03460297584533691,0.0010190843174124934,10,0.1,300,0,<class 'torch.optim.adadelta.Adadelta'>,"{'batch_size': 10, 'lr': 0.1, 'max_epochs': 300, 'module__num_layers': 0, 'optimizer': <class 'torch.optim.adadelta.Adadelta'>}",0.8942307692307693,0.9615384615384616,0.875,0.9711538461538461,0.9615384615384616,0.9326923076923077,0.039877771833322535,10
